place,latlng
Guisborough,"54.5358,-1.04998"
Helmsley,"54.2453,-1.05817"
Malton,"54.1348,-0.796443"
Northallerton,"54.3404,-1.43455"
Pickering,"54.2462,-0.776653"
Richmond,"54.4031,-1.73745"
Scarborough,"54.2844,-0.408660"
Stokesley,"54.4703,-1.19086"
Thirsk,"54.2325,-1.34281"
Whitby,"54.4874,-0.615499"
